,prompt,layer,head,head_output,model
8,The highest mountain of the world is called,0,8,[ 3.6856349  4.586757   1.7059729 ... -3.4830947  0.7098237  2.6956985],gpt2-small
9,The highest mountain of the world is called,0,9,[ 2.4431717  3.2118819  2.4799194 ... -1.6649313  3.8056893  1.6692815],gpt2-small
10,The highest mountain of the world is called,0,10,"[ 5.6328506   5.002593    2.396142   ... -0.67885673 -1.6121923
  4.4068465 ]",gpt2-small
11,The highest mountain of the world is called,0,11,"[ 3.284818    6.0751095   3.7032568  ... -0.04441565 -1.9347792
  2.5294027 ]",gpt2-small
0,The highest mountain of the world is called,1,0,[ 4.250885   4.020496   1.8162309 ... -1.489499  -1.173345   4.2316594],gpt2-small
1,The highest mountain of the world is called,1,1,"[ 4.629445    4.732462    1.1834075  ... -1.8302358  -0.53244805
  3.4118876 ]",gpt2-small
2,The highest mountain of the world is called,1,2,"[ 2.9322202   2.4317083   2.045031   ... -0.44907978  1.0594575
  2.953329  ]",gpt2-small
3,The highest mountain of the world is called,1,3,"[ 4.9098835   5.4877243   3.6784472  ... -0.8007651   0.53368104
  4.592143  ]",gpt2-small
4,The highest mountain of the world is called,1,4,"[ 3.2675393   4.5934725   1.8159235  ... -0.66702163 -1.650112
  4.1359234 ]",gpt2-small
5,The highest mountain of the world is called,1,5,"[ 3.774641    1.068121    0.5417415  ... -0.5920652   0.77611876
  3.7370296 ]",gpt2-small
6,The highest mountain of the world is called,1,6,[ 2.452384   3.600892   2.2193983 ... -1.1379762 -1.177821   4.5801344],gpt2-small
7,The highest mountain of the world is called,1,7,[ 4.857526   6.2499905  1.8702867 ... -1.6944935  1.4660244  2.972888 ],gpt2-small
8,The highest mountain of the world is called,1,8,[ 4.648574   5.1509566  2.6246045 ... -1.1177187 -1.5141644  4.238747 ],gpt2-small
9,The highest mountain of the world is called,1,9,"[ 3.5843682   4.5485725   1.929388   ... -1.1660407  -0.51806235
  3.741872  ]",gpt2-small
10,The highest mountain of the world is called,1,10,"[ 2.8660743   2.5687237   1.8323158  ... -0.9573699   0.43649173
  3.7576785 ]",gpt2-small
11,The highest mountain of the world is called,1,11,[ 3.0563664  3.7625806  2.2686493 ... -1.1511452 -1.5720526  4.788872 ],gpt2-small
0,The highest mountain of the world is called,2,0,[ 5.879022   4.695192   2.0484602 ... -2.3344426  0.5691544  5.750768 ],gpt2-small
1,The highest mountain of the world is called,2,1,"[ 4.0621505   4.1177216   2.128348   ... -1.1603733  -0.28164962
  4.132106  ]",gpt2-small
2,The highest mountain of the world is called,2,2,"[ 4.309573    3.7360795   0.78934956 ... -1.3892651  -1.8465889
  5.1941557 ]",gpt2-small
3,The highest mountain of the world is called,2,3,"[ 3.5813363   2.8760276   3.0397103  ... -0.69519407 -1.5233499
  4.58173   ]",gpt2-small
4,The highest mountain of the world is called,2,4,"[ 4.3050647   4.657661    2.8214731  ... -0.75390476 -0.73246735
  5.162055  ]",gpt2-small
5,The highest mountain of the world is called,2,5,"[ 4.952286    4.854238    1.3047693  ... -0.3824529  -0.14748657
  4.506761  ]",gpt2-small
6,The highest mountain of the world is called,2,6,"[ 3.2145224   4.654687    1.1907978  ... -0.85215837 -1.0984647
  3.8067064 ]",gpt2-small
7,The highest mountain of the world is called,2,7,"[ 4.4135346   4.9938736   2.8528366  ... -1.2998686  -0.26179382
  3.9211683 ]",gpt2-small
8,The highest mountain of the world is called,2,8,"[ 3.2592342   3.627845    0.85131836 ... -2.293643   -0.66311127
  3.490231  ]",gpt2-small
9,The highest mountain of the world is called,2,9,"[ 3.6920445   4.043299    3.2530026  ... -0.29252195  0.622633
  2.9734147 ]",gpt2-small
10,The highest mountain of the world is called,2,10,[ 2.7740636  2.4293165  1.737962  ...  1.3553991 -1.9174082  1.6049428],gpt2-small
11,The highest mountain of the world is called,2,11,"[ 4.454085    4.67021     1.4804747  ... -1.2595742  -0.16237822
  4.9728556 ]",gpt2-small
0,The highest mountain of the world is called,3,0,[ 4.055436   3.7778814  1.2040596 ... -1.5390935 -1.7253172  3.9602942],gpt2-small
1,The highest mountain of the world is called,3,1,[ 3.6558704  3.2332754  2.3398407 ... -0.4018014 -0.9669755  4.435936 ],gpt2-small
2,The highest mountain of the world is called,3,2,[ 4.2092156  4.054696   2.347454  ... -1.0983686 -0.6828501  4.9934015],gpt2-small
3,The highest mountain of the world is called,3,3,"[ 4.4430404   4.4928417   1.9960034  ... -0.86135876 -1.3839889
  5.072444  ]",gpt2-small
4,The highest mountain of the world is called,3,4,"[ 3.7477767   5.176615    3.1234965  ... -0.5454422   0.41012418
  4.4500866 ]",gpt2-small
5,The highest mountain of the world is called,3,5,[ 4.0620556  4.0345745  2.4173198 ... -4.3567057  0.5776578  3.426569 ],gpt2-small
6,The highest mountain of the world is called,3,6,[ 3.7929542  4.8302965  2.6132913 ... -2.3673773 -1.0319197  4.2430735],gpt2-small
7,The highest mountain of the world is called,3,7,"[ 3.412787    3.7557647   3.0316536  ... -0.7475798   0.44632494
  2.9406526 ]",gpt2-small
8,The highest mountain of the world is called,3,8,"[ 4.598833    4.415496    0.9005289  ... -1.2804816  -0.32053503
  4.5325375 ]",gpt2-small
9,The highest mountain of the world is called,3,9,[ 4.3666143  5.172371   1.9714274 ... -1.518903  -1.425694   3.9603202],gpt2-small
10,The highest mountain of the world is called,3,10,[3.4685423  4.180216   1.6814346  ... 0.45840454 0.06210911 3.2681177 ],gpt2-small
11,The highest mountain of the world is called,3,11,[ 4.8381557  4.342438   1.6744831 ... -0.2553525 -1.1495025  4.6257463],gpt2-small
0,The highest mountain of the world is called,4,0,[ 4.5501876  4.080767   1.9278946 ... -1.4047934 -1.3580554  4.5615582],gpt2-small
1,The highest mountain of the world is called,4,1,"[ 4.1205573   4.3087564   1.815813   ... -0.22213823 -0.9698629
  4.752391  ]",gpt2-small
2,The highest mountain of the world is called,4,2,"[ 3.9717243   4.1617255   2.2242308  ... -1.1809492  -0.47627038
  4.1350474 ]",gpt2-small
3,The highest mountain of the world is called,4,3,"[ 4.6285982e+00  4.1174121e+00  3.1805863e+00 ... -4.1970162e+00
  1.3421178e-03  5.4464188e+00]",gpt2-small
4,The highest mountain of the world is called,4,4,"[ 3.8438616   3.6758149   1.8974624  ... -0.46266922 -1.0889733
  4.700112  ]",gpt2-small
5,The highest mountain of the world is called,4,5,[ 3.934171   4.1272044  2.5796325 ... -0.8380756 -1.7181704  4.2460012],gpt2-small
6,The highest mountain of the world is called,4,6,"[ 4.461675    4.859618    1.3894224  ... -0.39717495  1.5335829
  3.3881352 ]",gpt2-small
7,The highest mountain of the world is called,4,7,[ 1.5338953  3.0956926  1.6711566 ...  1.1737807 -1.3481492  3.2064722],gpt2-small
8,The highest mountain of the world is called,4,8,"[ 4.010192    4.251494    1.7772704  ... -0.77657896 -0.11029527
  3.8996878 ]",gpt2-small
9,The highest mountain of the world is called,4,9,"[ 4.373981    3.9999876   3.173859   ... -1.6230335  -0.67314595
  4.618664  ]",gpt2-small
10,The highest mountain of the world is called,4,10,"[ 4.410404    4.4871697   2.2036223  ... -0.88414115 -0.8915007
  4.1749625 ]",gpt2-small
11,The highest mountain of the world is called,4,11,"[ 4.7358465   5.1016655   1.7421795  ... -1.5734683  -0.99533576
  4.054449  ]",gpt2-small
0,The highest mountain of the world is called,5,0,[ 4.1995697  3.8187141  2.0638657 ... -0.6170553 -0.6889532  4.280709 ],gpt2-small
1,The highest mountain of the world is called,5,1,[ 4.338734   4.6526723  2.4566689 ... -1.8918821 -0.8064606  4.0941105],gpt2-small
2,The highest mountain of the world is called,5,2,"[ 5.21101     4.4574094   2.9362783  ... -1.5967382   0.14246768
  5.155652  ]",gpt2-small
3,The highest mountain of the world is called,5,3,"[ 3.4237967   4.8574667   2.3208764  ... -1.8245391  -0.74045825
  3.5178292 ]",gpt2-small
4,The highest mountain of the world is called,5,4,"[ 4.2037344   4.4384623   1.7718768  ... -1.3053563   0.26355982
  4.079525  ]",gpt2-small
5,The highest mountain of the world is called,5,5,[ 4.3048325  4.9981604  2.459398  ... -1.9497563 -1.4540172  4.0834527],gpt2-small
6,The highest mountain of the world is called,5,6,[ 4.3028708  4.1570477  2.0493593 ... -0.7619131 -1.311442   4.3665485],gpt2-small
7,The highest mountain of the world is called,5,7,"[ 4.578431    4.2171125   2.1168277  ... -0.92922366 -0.709297
  4.8579426 ]",gpt2-small
8,The highest mountain of the world is called,5,8,"[ 3.7606118   3.7194676   3.3035297  ... -0.73121524 -0.0125491
  3.5182552 ]",gpt2-small
9,The highest mountain of the world is called,5,9,[3.027666   4.924157   2.4628038  ... 0.91188085 0.39400876 4.351591  ],gpt2-small
10,The highest mountain of the world is called,5,10,"[ 5.2713256   4.395557    3.6263719  ... -3.8354573  -0.26553273
  4.5066032 ]",gpt2-small
11,The highest mountain of the world is called,5,11,"[ 3.3802855   3.344583    0.36396646 ...  1.5636649  -1.7020521
  3.67473   ]",gpt2-small
0,The highest mountain of the world is called,6,0,[ 3.98453    4.1234074  3.3719802 ... -3.814218  -0.2901521  4.0631595],gpt2-small
1,The highest mountain of the world is called,6,1,[ 4.4316893  4.4952245  2.290114  ... -0.7798207 -0.4879685  4.838298 ],gpt2-small
2,The highest mountain of the world is called,6,2,"[ 3.4905      5.708673    1.5567418  ... -0.06063288 -0.9003902
  3.6592786 ]",gpt2-small
3,The highest mountain of the world is called,6,3,[ 4.8014407  4.4100866  2.4709928 ... -1.0552016 -1.4900969  4.5548244],gpt2-small
4,The highest mountain of the world is called,6,4,[ 5.3867893  4.6632276  2.4050584 ... -6.23567   -1.7964658  4.676143 ],gpt2-small
5,The highest mountain of the world is called,6,5,"[ 3.5086043   3.6419866   1.3846734  ...  0.06574363 -0.7786616
  4.482256  ]",gpt2-small
6,The highest mountain of the world is called,6,6,"[ 2.2573512   3.3846018   1.5695043  ... -0.1111533  -0.83103675
  3.7553287 ]",gpt2-small
7,The highest mountain of the world is called,6,7,[ 4.451574   4.260116   1.6096445 ... -3.1108189  1.75262    4.815057 ],gpt2-small
8,The highest mountain of the world is called,6,8,"[ 3.4994013   3.218942    1.4260471  ... -0.3287766  -0.13594371
  3.4012203 ]",gpt2-small
9,The highest mountain of the world is called,6,9,[ 4.8512106  4.751732   2.7082787 ... -1.1243709 -0.6254359  5.0080137],gpt2-small
10,The highest mountain of the world is called,6,10,"[ 3.7289193   4.1477985   2.5402112  ... -0.32194299 -0.16007698
  4.6352825 ]",gpt2-small
11,The highest mountain of the world is called,6,11,[ 4.0681114  4.4318953  2.8960652 ... -1.005781  -0.5615941  4.3064156],gpt2-small
0,The highest mountain of the world is called,7,0,"[ 4.379945    4.5684123   2.0436308  ... -1.0391444  -0.47196114
  3.9971735 ]",gpt2-small
1,The highest mountain of the world is called,7,1,"[ 3.8915768   4.3058977   2.1863217  ... -0.67753625 -0.9608687
  3.809251  ]",gpt2-small
2,The highest mountain of the world is called,7,2,"[ 3.6331582   3.9196076   1.8125342  ... -1.1647844  -0.52982175
  4.196706  ]",gpt2-small
3,The highest mountain of the world is called,7,3,[ 4.1249185  4.8992624  2.4945495 ... -0.7502463 -0.976861   3.429499 ],gpt2-small
4,The highest mountain of the world is called,7,4,"[ 4.316646    4.2760134   2.0037625  ... -0.82244796 -0.4406405
  5.0194063 ]",gpt2-small
5,The highest mountain of the world is called,7,5,[ 4.9739947  4.912069   3.7555954 ... -4.1883864 -0.3680082  4.3792458],gpt2-small
6,The highest mountain of the world is called,7,6,"[ 4.6676025   4.657245    2.648712   ...  0.2895763  -0.89698684
  3.4637997 ]",gpt2-small
7,The highest mountain of the world is called,7,7,[ 3.401785   3.8555245  1.8128673 ... -0.6521448 -0.5875277  4.337723 ],gpt2-small
8,The highest mountain of the world is called,7,8,[ 4.7034254  4.8798056  3.1029425 ... -3.0308385  1.1293665  4.780654 ],gpt2-small
9,The highest mountain of the world is called,7,9,"[ 3.1265185   4.217998    1.2687181  ... -0.55632365 -0.6834837
  5.106923  ]",gpt2-small
10,The highest mountain of the world is called,7,10,[ 4.597374   4.24795    2.3335366 ... -1.2217479 -1.1093032  4.2137766],gpt2-small
11,The highest mountain of the world is called,7,11,"[ 4.643416    4.259151    2.1691773  ... -0.558208    0.11423028
  4.0350294 ]",gpt2-small
0,The highest mountain of the world is called,8,0,"[ 3.4044516   4.393205    2.6800332  ... -0.74236953 -0.9772234
  4.1495824 ]",gpt2-small
1,The highest mountain of the world is called,8,1,"[ 4.581182    4.6154423   2.062278   ... -0.8128926  -0.12801838
  4.1935434 ]",gpt2-small
2,The highest mountain of the world is called,8,2,"[ 4.7484803   4.9251986   1.4804522  ... -0.58742225 -0.5506723
  5.027511  ]",gpt2-small
3,The highest mountain of the world is called,8,3,[ 2.6071296  3.3357594  3.6005805 ... -5.338969  -1.0108322  2.5597067],gpt2-small
4,The highest mountain of the world is called,8,4,"[ 4.335469    4.3864813   2.3065395  ... -0.93624914 -0.35679668
  4.3428106 ]",gpt2-small
5,The highest mountain of the world is called,8,5,"[ 6.169238    2.6254396   1.2210023  ... -1.5613164  -0.84448415
  3.7831702 ]",gpt2-small
6,The highest mountain of the world is called,8,6,"[ 4.5425477   4.4655213   2.7036529  ... -0.4980771   0.17314398
  4.1966476 ]",gpt2-small
7,The highest mountain of the world is called,8,7,[ 4.888649   4.1959276  4.0815578 ... -3.2857995  2.0634341  3.0357459],gpt2-small
8,The highest mountain of the world is called,8,8,[ 3.3104959  4.0385866  1.5445267 ... -4.2816358  3.2667036  4.1394305],gpt2-small
9,The highest mountain of the world is called,8,9,[4.4908295  4.8619986  3.0047357  ... 0.0052591  0.47038293 3.7892838 ],gpt2-small
10,The highest mountain of the world is called,8,10,"[ 3.859553    3.9061298   3.6299     ... -0.05952501 -2.719489
  4.6311746 ]",gpt2-small
11,The highest mountain of the world is called,8,11,"[ 3.8871748   4.048671    1.6879426  ... -1.095727    0.64781356
  4.4262075 ]",gpt2-small
0,The highest mountain of the world is called,9,0,[ 3.7831635  4.7420564  2.4986553 ... -2.2053635  1.5331309  4.8893027],gpt2-small
1,The highest mountain of the world is called,9,1,"[ 4.608709    4.5717893   2.6570053  ... -0.55424273  0.09590578
  5.1045094 ]",gpt2-small
2,The highest mountain of the world is called,9,2,[ 4.600968   4.1655354  1.271421  ... -4.7850504  4.0758095  5.3404875],gpt2-small
3,The highest mountain of the world is called,9,3,[ 4.667164   2.4914494  1.0865487 ... -3.932169   1.9578619  2.5903842],gpt2-small
4,The highest mountain of the world is called,9,4,"[ 3.8675735   2.7846904   2.431831   ... -1.4418445  -0.25927594
  4.97394   ]",gpt2-small
5,The highest mountain of the world is called,9,5,"[ 4.0329523   4.854027    2.7527566  ... -0.73448944 -5.218427
  4.478499  ]",gpt2-small
6,The highest mountain of the world is called,9,6,[ 3.5037558  3.619944   1.7408214 ... -0.9910064 -1.1783787  3.5811439],gpt2-small
7,The highest mountain of the world is called,9,7,[ 4.8265     4.352696   2.2049532 ...  0.424397  -0.5249367  3.2936556],gpt2-small
8,The highest mountain of the world is called,9,8,[ 3.2184193  4.5740767  3.616292  ... -3.131401   0.7537198  3.940132 ],gpt2-small
9,The highest mountain of the world is called,9,9,[ 3.956302   4.0017853  2.4834106 ... -2.4150069 -0.8074987  4.5452633],gpt2-small
10,The highest mountain of the world is called,9,10,"[ 4.034369    3.7627037   3.0861406  ...  0.09478742 -0.02490175
  3.4218173 ]",gpt2-small
11,The highest mountain of the world is called,9,11,"[ 4.406513    3.8562799   0.5288944  ... -0.5343667  -0.16184235
  3.7588828 ]",gpt2-small
0,The highest mountain of the world is called,10,0,[ 2.5808623  3.011043   1.5441442 ... -2.953032   2.1395624  4.703703 ],gpt2-small
1,The highest mountain of the world is called,10,1,"[ 4.716316    3.9825008   1.9840839  ... -0.8438671   0.15844572
  4.736255  ]",gpt2-small
2,The highest mountain of the world is called,10,2,"[ 4.1728277   5.5530148  -0.20345402 ...  0.14119434  0.77651477
  4.437182  ]",gpt2-small
3,The highest mountain of the world is called,10,3,"[ 4.426143    5.9562435   0.88059664 ... -0.9888593  -0.18985403
  4.4598    ]",gpt2-small
4,The highest mountain of the world is called,10,4,[ 7.340705  -2.737422   1.0751114 ... -2.518779   1.5297713  2.7996578],gpt2-small
5,The highest mountain of the world is called,10,5,"[ 4.7206044   4.3856554   1.7798929  ... -0.25056577 -0.32707477
  4.042525  ]",gpt2-small
6,The highest mountain of the world is called,10,6,[ 3.8328767  4.5889387  2.1233776 ... -4.9823837  1.5132437  4.62422  ],gpt2-small
7,The highest mountain of the world is called,10,7,[ 3.083498   4.948711   3.4103894 ...  3.437089  -4.557281   4.041474 ],gpt2-small
8,The highest mountain of the world is called,10,8,[ 3.4482033  3.7927952  1.733007  ... -0.8688987 -0.5580336  3.950253 ],gpt2-small
9,The highest mountain of the world is called,10,9,"[ 4.375334    3.994626    1.9384172  ... -0.1146208  -0.75452757
  4.035616  ]",gpt2-small
10,The highest mountain of the world is called,10,10,[ 3.8852181  4.0655937  2.4937127 ... -2.1446862 -1.5018485  3.7783246],gpt2-small
11,The highest mountain of the world is called,10,11,[ 4.868684   3.796024   3.6390462 ... -4.4753246  0.5958723  4.3755527],gpt2-small
0,The highest mountain of the world is called,11,0,[5.11012   4.9957943 3.2953835 ... 1.0566729 4.161749  2.7476866],gpt2-small
1,The highest mountain of the world is called,11,1,"[ 4.7374463   4.659806    0.21912193 ... -1.0317001  -2.4101396
  6.676396  ]",gpt2-small
2,The highest mountain of the world is called,11,2,[ 5.015845   4.910026   3.0218394 ... -1.1383921  0.3183514  6.0848026],gpt2-small
3,The highest mountain of the world is called,11,3,[ 3.7485278  3.5759094  1.9650471 ... -3.5211592  2.6085913  4.386573 ],gpt2-small
4,The highest mountain of the world is called,11,4,[ 2.575916   2.2892904 -0.8020296 ... -1.4927938 -0.8601838  3.0335472],gpt2-small
5,The highest mountain of the world is called,11,5,"[ 3.0038407   3.908038    1.6246693  ... -0.2028085   0.24887311
  3.3395388 ]",gpt2-small
6,The highest mountain of the world is called,11,6,"[ 3.7198353   4.639057    2.296393   ... -0.90926003  0.33062196
  4.762084  ]",gpt2-small
7,The highest mountain of the world is called,11,7,"[ 6.7533655   5.8843417   4.4111347  ... -0.22993946 -1.5071211
  4.148469  ]",gpt2-small
8,The highest mountain of the world is called,11,8,[ 4.145113   4.213264   1.323128  ... -3.075251  -1.3442764  9.616928 ],gpt2-small
9,The highest mountain of the world is called,11,9,[ 4.994473   5.0129223  2.9034603 ... -2.3857255 -0.2726779  4.7213407],gpt2-small
10,The highest mountain of the world is called,11,10,"[ 4.032386    4.1550093   1.6119273  ...  0.82731533 -1.1733508
  4.0003777 ]",gpt2-small
11,The highest mountain of the world is called,11,11,"[ 4.1425676   2.5302718   3.4511375  ... -2.8116474  -0.29195625
  4.4633827 ]",gpt2-small
0,Kopi luwak is eaten and defecated by,0,0,"[ 3.5205483   4.2724533   1.9656006  ... -0.50810194 -0.22641048
  3.539164  ]",gpt2-small
1,Kopi luwak is eaten and defecated by,0,1,[ 2.3673048  2.2846384 -0.5455413 ... -1.7359982 -1.4008337  4.8557253],gpt2-small
2,Kopi luwak is eaten and defecated by,0,2,"[ 5.35812     5.255704    2.8149335  ... -0.7754799  -0.80711854
  4.91619   ]",gpt2-small
3,Kopi luwak is eaten and defecated by,0,3,"[ 2.9210963   3.5765228   0.52928054 ... -0.17171133  0.10928774
  3.0707524 ]",gpt2-small
4,Kopi luwak is eaten and defecated by,0,4,[ 4.5512104  4.203731   2.859869  ... -1.524199  -1.0376928  4.4955316],gpt2-small
5,Kopi luwak is eaten and defecated by,0,5,"[ 2.704012    4.1677656   1.6587675  ...  0.5432627  -0.35006446
  3.9690893 ]",gpt2-small
6,Kopi luwak is eaten and defecated by,0,6,"[ 3.3276927   3.3862412   2.0442145  ...  0.31840706 -1.8721012
  4.4623356 ]",gpt2-small
7,Kopi luwak is eaten and defecated by,0,7,[ 3.360653   3.685835   2.4591823 ... -2.1997552 -1.3778393  3.8212304],gpt2-small
8,Kopi luwak is eaten and defecated by,0,8,[ 3.579707   4.915737   1.9528924 ... -3.7352939 -0.2266711  3.1408825],gpt2-small
9,Kopi luwak is eaten and defecated by,0,9,[ 1.7293749  3.4604812  3.4084988 ... -2.8740184  4.3880315  1.606852 ],gpt2-small
10,Kopi luwak is eaten and defecated by,0,10,[ 6.466296   5.1357274  2.3712668 ...  0.7040154 -2.0374613  5.3712263],gpt2-small
11,Kopi luwak is eaten and defecated by,0,11,[ 3.731389   6.0573716  3.4579043 ... -0.0774616 -1.4659084  2.874831 ],gpt2-small
0,Kopi luwak is eaten and defecated by,1,0,[ 4.143722   3.7369373  2.2929504 ... -1.0218989 -1.1361047  3.8476949],gpt2-small
1,Kopi luwak is eaten and defecated by,1,1,"[ 4.2951465   4.2505107   2.013334   ... -0.30988294 -0.8883615
  3.428813  ]",gpt2-small
2,Kopi luwak is eaten and defecated by,1,2,"[ 2.453465    1.9557695   2.0893106  ... -0.13200301  1.5202703
  3.0640173 ]",gpt2-small
3,Kopi luwak is eaten and defecated by,1,3,"[ 4.807941    5.516411    3.5208294  ... -0.6499612   0.38239592
  4.573956  ]",gpt2-small
4,Kopi luwak is eaten and defecated by,1,4,[ 2.6912894  4.332666   1.5613744 ...  0.1465081 -2.0317008  3.5486548],gpt2-small
5,Kopi luwak is eaten and defecated by,1,5,"[ 2.94457     0.7588501   0.10117137 ... -1.0322628   0.34556067
  3.0711265 ]",gpt2-small
6,Kopi luwak is eaten and defecated by,1,6,"[ 3.291389    3.354222    2.145923   ... -0.30900705 -1.3206501
  5.671475  ]",gpt2-small
7,Kopi luwak is eaten and defecated by,1,7,"[ 4.73236     5.3662367   2.8398087  ... -0.91379935  0.8239274
  3.0661678 ]",gpt2-small
8,Kopi luwak is eaten and defecated by,1,8,[ 4.2415257  4.2313843  1.8359022 ... -1.0005558 -1.4800043  3.8159523],gpt2-small
9,Kopi luwak is eaten and defecated by,1,9,"[ 4.352699    4.739087    1.9436841  ... -1.0304505  -0.96937823
  4.3925853 ]",gpt2-small
10,Kopi luwak is eaten and defecated by,1,10,[ 2.8183553  2.982721   2.4232388 ... -1.110278   0.5029366  4.365963 ],gpt2-small
11,Kopi luwak is eaten and defecated by,1,11,[ 2.5281773  4.818612   2.869344  ... -1.0093504 -1.3021988  4.385988 ],gpt2-small
0,Kopi luwak is eaten and defecated by,2,0,"[ 5.30693     4.9510484   1.612427   ... -2.57573     0.05583251
  5.0612698 ]",gpt2-small
1,Kopi luwak is eaten and defecated by,2,1,"[ 4.69826     3.4617195   2.190649   ... -0.30117762 -1.1136127
  4.1717143 ]",gpt2-small
2,Kopi luwak is eaten and defecated by,2,2,[ 3.5847502  3.7228162  1.9756839 ... -0.7591478 -1.5171342  4.20923  ],gpt2-small
3,Kopi luwak is eaten and defecated by,2,3,"[ 3.5100114   2.730771    3.0609767  ...  0.11879849 -1.6652019
  5.063217  ]",gpt2-small
4,Kopi luwak is eaten and defecated by,2,4,[ 4.719681   5.0898247  2.2896943 ... -0.6109079 -0.8077849  5.063508 ],gpt2-small
5,Kopi luwak is eaten and defecated by,2,5,"[ 4.3324194   4.118545    1.9823669  ... -0.87612844  0.17566782
  4.427237  ]",gpt2-small
6,Kopi luwak is eaten and defecated by,2,6,"[ 2.3914018   4.3435802   0.64462626 ... -0.7394891  -1.7837905
  3.8312125 ]",gpt2-small
7,Kopi luwak is eaten and defecated by,2,7,"[ 4.4804893   4.5438046   3.2105052  ... -1.0273838  -0.12451762
  3.9397447 ]",gpt2-small
8,Kopi luwak is eaten and defecated by,2,8,"[ 4.1390843   4.8676596   1.8274605  ... -0.7200177   0.28396684
  4.327016  ]",gpt2-small
9,Kopi luwak is eaten and defecated by,2,9,"[ 3.7002618   4.1210413   2.8908484  ... -0.9115691  -0.28189933
  3.0781832 ]",gpt2-small
10,Kopi luwak is eaten and defecated by,2,10,[ 3.0591486  2.4913394  2.1871033 ...  1.3783698 -1.3401161  1.5311732],gpt2-small
11,Kopi luwak is eaten and defecated by,2,11,"[ 4.2344675   4.8529153   1.185854   ... -1.2200397  -0.04872847
  4.8532853 ]",gpt2-small
0,Kopi luwak is eaten and defecated by,3,0,[ 4.026816   3.7600822  1.1629478 ... -1.5679364 -1.6077955  3.9441884],gpt2-small
1,Kopi luwak is eaten and defecated by,3,1,[ 3.6598108  2.6758559  2.562953  ... -0.677039  -1.1085199  4.408862 ],gpt2-small
2,Kopi luwak is eaten and defecated by,3,2,[ 3.9770956  3.9098575  2.2337165 ... -0.955023  -1.0276829  5.14508  ],gpt2-small
3,Kopi luwak is eaten and defecated by,3,3,[ 4.467945   4.7331743  1.9897995 ... -0.8412156 -1.7437991  4.479794 ],gpt2-small
4,Kopi luwak is eaten and defecated by,3,4,[ 3.7799664  5.0991864  3.105285  ... -0.490886   0.3047802  4.512198 ],gpt2-small
5,Kopi luwak is eaten and defecated by,3,5,[ 4.1500196  3.8790789  1.8854959 ... -1.8883249 -0.9157264  4.0162888],gpt2-small
6,Kopi luwak is eaten and defecated by,3,6,"[ 4.0081406   4.73431     3.4373431  ... -1.7384176  -0.46194834
  4.040373  ]",gpt2-small
7,Kopi luwak is eaten and defecated by,3,7,"[ 4.18016     4.311293    2.7241244  ... -0.4229165   0.19787776
  2.947229  ]",gpt2-small
8,Kopi luwak is eaten and defecated by,3,8,[ 3.8251643  4.3049774  1.0291207 ... -1.1326088 -1.3057489  3.9662132],gpt2-small
9,Kopi luwak is eaten and defecated by,3,9,"[ 4.952907    5.1271715   2.2785523  ... -2.1120281  -0.35160804
  4.520006  ]",gpt2-small
10,Kopi luwak is eaten and defecated by,3,10,"[ 3.6147354   4.021367    1.5316806  ... -0.02028048  1.130037
  3.633596  ]",gpt2-small
11,Kopi luwak is eaten and defecated by,3,11,[ 4.4834585  4.061903   1.6401049 ...  0.1694014 -0.7113438  4.5493574],gpt2-small
0,Kopi luwak is eaten and defecated by,4,0,[ 4.3411565  4.0012145  1.4841545 ... -1.6313394 -1.6748551  5.2019143],gpt2-small
1,Kopi luwak is eaten and defecated by,4,1,"[ 4.129314    4.0585933   2.2144253  ... -0.505808   -0.83742815
  4.5128255 ]",gpt2-small
2,Kopi luwak is eaten and defecated by,4,2,"[ 3.7759469   3.347014    1.9730799  ... -1.0260372  -0.45497692
  3.9730577 ]",gpt2-small
3,Kopi luwak is eaten and defecated by,4,3,[ 4.2871156  5.078665   2.86045   ... -1.5853431 -0.7585019  3.309662 ],gpt2-small
4,Kopi luwak is eaten and defecated by,4,4,[ 4.4133277  4.443714   2.6118503 ... -0.5836874 -1.3437403  4.2960668],gpt2-small
5,Kopi luwak is eaten and defecated by,4,5,"[ 3.6305776   3.6658416   2.4762697  ... -0.21073449 -0.98948836
  4.411705  ]",gpt2-small
6,Kopi luwak is eaten and defecated by,4,6,"[ 4.3385525   4.266865    1.8858687  ... -1.5903871  -0.39634484
  3.3403764 ]",gpt2-small
7,Kopi luwak is eaten and defecated by,4,7,"[ 0.7794211   3.181251   -0.12985468 ...  0.02143389  0.45668578
  4.146203  ]",gpt2-small
8,Kopi luwak is eaten and defecated by,4,8,"[ 4.002701    4.3200545   1.7768188  ...  0.02855504 -0.73055536
  4.7238994 ]",gpt2-small
9,Kopi luwak is eaten and defecated by,4,9,"[ 4.0874033   3.8729901   0.8962723  ... -2.0640173  -0.27045512
  4.671085  ]",gpt2-small
10,Kopi luwak is eaten and defecated by,4,10,[ 4.5242677  4.584466   2.3913393 ... -0.6146457 -1.1017172  4.5353394],gpt2-small
11,Kopi luwak is eaten and defecated by,4,11,"[ 4.3492827   4.191358    3.8827932  ... -0.7230592  -0.74586964
  4.4159203 ]",gpt2-small
0,Kopi luwak is eaten and defecated by,5,0,[ 4.105861   3.785063   2.1011338 ... -0.7727143 -0.5503837  3.9800491],gpt2-small
